DATE,TIME,TOTAL MOVES,GAME TIME
2025-09-20,00:04:32,67,10:25
2025-09-20,00:10:07,53,04:47
2025-09-20,00:15:29,49,04:17
2025-09-20,00:20:57,49,03:44
2025-09-20,00:26:08,49,04:10
2025-09-20,00:30:53,46,03:54
2025-09-20,00:37:59,61,06:14
2025-09-20,00:44:27,62,05:31
2025-09-20,00:49:55,53,04:44
2025-09-20,00:55:09,46,04:18
2025-09-20,00:59:51,44,03:38
2025-09-20,01:04:35,41,03:51
2025-09-20,01:11:34,60,06:12
2025-09-20,01:16:52,51,04:36
2025-09-20,01:22:23,46,04:36
2025-09-20,01:27:45,56,04:46
2025-09-20,01:33:06,26,04:33
2025-09-20,01:39:58,59,06:12
2025-09-20,01:45:14,53,04:35
2025-09-20,01:48:36,26,02:43
2025-09-20,01:53:54,46,04:24
2025-09-20,01:58:33,46,03:52
2025-09-20,02:05:58,64,06:40
2025-09-20,02:09:22,40,02:47
2025-09-20,02:13:38,39,03:12
2025-09-20,02:20:51,61,06:35
2025-09-20,02:25:28,42,03:57
2025-09-20,02:31:27,57,05:24
2025-09-20,02:35:25,35,03:15
2025-09-20,02:41:28,53,05:16
2025-09-20,02:45:59,42,03:55
2025-09-20,02:51:31,54,04:50
2025-09-20,02:56:34,41,04:17
2025-09-20,03:00:05,40,02:45
2025-09-20,03:04:43,45,04:01
2025-09-20,03:09:34,47,03:52
2025-09-20,03:16:03,59,05:41
2025-09-20,03:21:05,45,04:21
2025-09-20,03:25:53,46,03:59
2025-09-20,03:31:42,58,05:03
2025-09-20,03:38:04,51,05:44
2025-09-20,03:46:44,36,07:58
2025-09-20,03:51:47,56,04:20
2025-09-20,03:55:16,26,02:45
2025-09-20,03:59:41,45,03:43
2025-09-20,04:04:46,41,04:22
2025-09-20,04:08:57,46,03:26
2025-09-20,04:14:03,38,04:11
2025-09-20,08:38:48,45,04:19
2025-09-20,08:46:38,61,06:23
2025-09-20,09:11:23,51,04:57
2025-09-20,09:16:09,54,04:05
2025-09-20,09:20:41,47,03:51
2025-09-20,09:28:31,65,07:02
2025-09-20,09:33:25,45,04:12
2025-09-20,09:37:32,37,03:31
2025-09-20,09:38:16,0,00:39
2025-09-20,09:43:34,52,04:30
2025-09-20,09:49:16,56,05:02
2025-09-20,09:54:24,48,04:24
2025-09-20,10:00:10,52,05:07
2025-09-20,10:05:46,50,04:50
2025-09-20,10:10:44,49,04:15
2025-09-20,10:16:39,54,05:19
2025-09-20,10:21:42,48,04:23
2025-09-20,10:26:36,44,04:09
2025-09-20,10:32:27,54,05:07
2025-09-20,12:12:13,43,03:30
2025-09-20,12:17:27,52,04:33
2025-09-20,12:21:02,32,02:58
2025-09-20,12:25:37,43,03:53
2025-09-20,12:30:10,40,03:38
2025-09-20,14:18:15,51,03:32
2025-09-20,14:28:22,57,06:13
2025-09-20,14:34:25,50,05:27
2025-09-20,14:40:52,57,05:44
2025-09-20,14:45:51,48,04:08
2025-09-20,14:50:03,44,03:32
2025-09-20,14:55:52,60,05:07
2025-09-20,15:01:30,52,05:01
2025-09-20,15:05:52,38,03:43
2025-09-20,15:09:34,33,03:06
2025-09-20,15:14:50,50,04:42
2025-09-20,15:20:11,62,04:47
2025-09-20,15:23:49,42,02:50
2025-09-20,15:30:34,50,05:28
2025-09-20,15:35:25,47,04:08
2025-09-20,15:41:56,65,05:53
2025-09-20,15:45:42,27,03:12
2025-09-20,15:49:48,49,03:32
2025-09-20,15:56:14,62,05:46
2025-09-20,16:00:19,43,03:24
2025-09-20,16:05:57,50,04:41
2025-09-20,16:12:07,62,05:10
2025-09-20,16:16:33,45,03:45
2025-09-20,16:21:46,46,04:37
2025-09-20,16:27:08,57,04:40
2025-09-20,16:33:04,60,05:19
2025-09-20,16:38:31,48,04:27
2025-09-20,16:44:59,64,05:51
2025-09-20,16:49:19,40,03:41
2025-09-20,16:54:14,43,03:59
2025-09-20,17:00:37,47,05:43
2025-09-20,17:05:48,43,04:07
2025-09-20,17:12:38,59,06:00
2025-09-20,17:18:36,59,05:23
2025-09-20,17:24:02,58,04:46
2025-09-20,17:29:22,49,04:43
