DATE,TIME,TOTAL MOVES,GAME TIME
2025-09-23,17:56:27,58,05:16
2025-09-23,18:04:02,63,06:50
2025-09-23,18:16:39,38,03:12
2025-09-23,18:21:21,41,03:48
2025-09-23,18:27:27,46,04:11
2025-09-23,18:32:04,36,03:27
2025-09-23,18:37:36,52,04:47
2025-09-23,18:43:02,51,04:35
2025-09-23,18:47:38,49,03:52
2025-09-23,18:52:29,46,04:07
2025-09-23,18:58:31,47,05:17
2025-09-23,19:04:25,60,05:17
2025-09-23,19:10:17,50,05:09
2025-09-23,19:15:37,48,04:29
2025-09-23,19:21:41,61,05:24
2025-09-23,19:35:14,52,04:26
2025-09-23,19:42:03,54,05:36
2025-09-23,19:46:08,24,02:57
2025-09-23,19:51:07,50,04:11
2025-09-23,19:54:40,34,02:56
2025-09-23,19:59:27,46,03:47
2025-09-23,20:04:22,45,04:03
2025-09-23,20:08:45,22,02:21
2025-09-23,20:12:43,42,03:21
2025-09-23,20:18:43,47,05:22
2025-09-23,20:23:49,51,04:03
2025-09-23,20:29:20,49,04:14
2025-09-23,20:34:34,52,04:29
2025-09-23,20:39:30,48,04:05
2025-09-23,20:45:10,48,04:54
2025-09-23,20:49:07,35,03:06
2025-09-23,20:54:15,50,04:15
2025-09-23,20:58:48,46,03:57
2025-09-23,21:05:04,56,05:38
2025-09-23,21:10:03,48,04:11
2025-09-23,21:14:45,44,03:53
2025-09-23,21:21:33,61,05:51
2025-09-23,21:26:50,44,04:33
2025-09-23,21:32:20,47,04:07
2025-09-23,21:37:41,42,04:36
2025-09-23,21:42:40,46,04:09
2025-09-23,21:57:01,46,04:42
2025-09-23,22:11:13,61,08:26
2025-09-23,22:16:32,50,04:42
2025-09-23,22:21:34,41,03:56
2025-09-23,22:26:53,48,04:39
2025-09-23,22:32:26,53,04:43
2025-09-23,22:37:41,47,04:35
2025-09-23,22:38:47,0,01:00
2025-09-23,22:43:29,47,03:37
2025-09-23,22:49:52,58,04:13
