DATE,TIME,TOTAL MOVES,GAME TIME
2025-09-22,08:24:22,49,03:40
2025-09-22,08:29:27,53,04:27
2025-09-22,08:34:06,42,04:06
2025-09-22,08:39:37,54,04:56
2025-09-22,08:45:05,62,04:53
2025-09-22,08:51:20,55,04:55
2025-09-22,08:58:55,67,06:49
2025-09-22,09:05:00,62,05:11
2025-09-22,09:10:35,53,04:33
2025-09-22,09:14:07,36,02:59
2025-09-22,09:18:45,51,04:05
2025-09-22,09:24:34,50,05:15
2025-09-22,09:30:46,48,05:29
2025-09-22,11:06:15,26,07:58
2025-09-22,11:12:56,55,05:39
2025-09-22,11:17:46,35,04:15
2025-09-22,11:29:17,44,03:59
2025-09-22,11:38:52,48,04:00
2025-09-22,11:46:27,59,07:00
2025-09-22,12:01:29,50,05:34
2025-09-22,12:07:35,51,05:21
2025-09-22,12:12:50,32,04:42
2025-09-22,12:17:27,47,03:58
2025-09-22,12:24:22,39,06:07
2025-09-22,12:31:56,53,06:38
2025-09-22,12:35:51,34,03:14
2025-09-22,12:41:33,52,04:57
2025-09-22,12:45:24,45,03:08
2025-09-22,12:50:01,50,03:45
2025-09-22,12:56:37,56,05:50
2025-09-22,13:01:27,52,04:11
2025-09-22,13:04:08,21,02:05
2025-09-22,13:17:15,53,05:02
2025-09-22,17:06:26,17,02:01
