# Battleship Game Analysis Results
# Generated: 2025-10-24 15:39:47
# Comparison Type: single-bot

# SUMMARY STATISTICS
Player Name,Random Target Player
Total Games,1000000
Average Moves,66.09
Median Moves,65.00
Best Game,21
Worst Game,100
Standard Deviation,16.19
Total Time (s),257.17
Avg Time per Game (s),0.000

# GAME-BY-GAME RESULTS
Note: Individual game results not saved (large dataset - memory optimization)

# MOVE COUNT DISTRIBUTION
Move Range,Game Count,Percentage
≤30 moves,3299,0.3%
31-40 moves,45681,4.6%
41-50 moves,136823,13.7%
51-60 moves,207961,20.8%
61-70 moves,216469,21.6%
71-80 moves,177982,17.8%
81-90 moves,211785,21.2%
91+ moves,84232,8.4%
