# Battleship Game Analysis Results
# Generated: 2025-10-23 13:20:11
# Comparison Type: three-bot-comparison

# THREE-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Winner
Average Moves,95.16,66.23,58.03,Spaced Random Player
Median Moves,97.00,65.00,56.00,Spaced Random Player
Best Game,67,30,27,Spaced Random Player
Worst Game,100,100,100,Random Player
Consistency (Std Dev),5.05,15.42,13.96,Random Player
Avg Time per Game,0.00,0.00,0.00,Random Player
Overall Metric Wins,3,0,3,

# HEAD-TO-HEAD GAME RESULTS
Game Number,Random Player,Random Target Player,Spaced Random Player,Winner
1,80,64,38,Spaced Random Player
2,99,50,63,Random Target Player
3,84,69,60,Spaced Random Player
4,98,91,53,Spaced Random Player
5,97,96,51,Spaced Random Player
6,100,57,50,Spaced Random Player
7,92,91,74,Spaced Random Player
8,87,53,58,Random Target Player
9,98,34,56,Random Target Player
10,91,48,48,Tie
11,100,47,52,Random Target Player
12,99,87,57,Spaced Random Player
13,93,66,48,Spaced Random Player
14,91,68,57,Spaced Random Player
15,96,65,75,Random Target Player
16,98,60,91,Random Target Player
17,96,77,45,Spaced Random Player
18,99,53,40,Spaced Random Player
19,99,40,72,Random Target Player
20,88,98,56,Spaced Random Player
21,99,84,59,Spaced Random Player
22,100,71,52,Spaced Random Player
23,92,46,50,Random Target Player
24,94,74,43,Spaced Random Player
25,94,99,29,Spaced Random Player
26,94,58,67,Random Target Player
27,97,58,60,Random Target Player
28,97,55,42,Spaced Random Player
29,99,79,53,Spaced Random Player
30,100,82,81,Spaced Random Player
31,100,48,44,Spaced Random Player
32,82,43,66,Random Target Player
33,92,60,46,Spaced Random Player
34,100,49,53,Random Target Player
35,85,94,59,Spaced Random Player
36,98,67,73,Random Target Player
37,94,56,56,Tie
38,94,63,64,Random Target Player
39,99,73,63,Spaced Random Player
40,97,69,43,Spaced Random Player
41,96,54,44,Spaced Random Player
42,79,63,92,Random Target Player
43,84,61,51,Spaced Random Player
44,91,74,35,Spaced Random Player
45,100,56,58,Random Target Player
46,95,68,52,Spaced Random Player
47,99,47,58,Random Target Player
48,97,83,67,Spaced Random Player
49,97,70,61,Spaced Random Player
50,98,63,41,Spaced Random Player
51,99,53,48,Spaced Random Player
52,96,45,47,Random Target Player
53,99,67,93,Random Target Player
54,100,92,59,Spaced Random Player
