# Battleship Game Analysis Results
# Generated: 2025-10-24 17:35:38
# Comparison Type: single-bot

# SUMMARY STATISTICS
Player Name,Optimized Monte Carlo Player
Total Games,10000
Average Moves,51.00
Median Moves,51.00
Best Game,21
Worst Game,77
Standard Deviation,9.72
Total Time (s),5088.63
Avg Time per Game (s),0.509

# GAME-BY-GAME RESULTS
Note: Individual game results not saved (large dataset - memory optimization)

# MOVE COUNT DISTRIBUTION
Move Range,Game Count,Percentage
≤30 moves,95,0.9%
31-40 moves,1478,14.8%
41-50 moves,3208,32.1%
51-60 moves,3277,32.8%
61-70 moves,1888,18.9%
71-80 moves,54,0.5%
81-90 moves,0,0.0%
91+ moves,0,0.0%
