# Battleship Game Analysis Results
# Generated: 2025-10-23 13:30:40
# Comparison Type: three-bot-comparison

# THREE-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Winner
91,94,60,62,Random Target Player
92,96,71,56,Spaced Random Player
93,98,51,59,Random Target Player
94,95,49,76,Random Target Player
95,97,41,62,Random Target Player
96,94,66,58,Spaced Random Player
97,99,100,65,Spaced Random Player
98,98,41,51,Random Target Player
99,98,60,52,Spaced Random Player
100,100,37,72,Random Target Player
101,96,60,61,Random Target Player
102,99,69,39,Spaced Random Player
103,98,64,55,Spaced Random Player
104,94,60,42,Spaced Random Player
105,100,68,57,Spaced Random Player
106,87,68,42,Spaced Random Player
107,82,85,47,Spaced Random Player
108,97,56,44,Spaced Random Player
109,90,88,46,Spaced Random Player
110,99,69,45,Spaced Random Player
111,98,70,57,Spaced Random Player
112,84,63,27,Spaced Random Player
113,99,46,58,Random Target Player
114,95,60,58,Spaced Random Player
115,96,60,64,Random Target Player
116,99,100,53,Spaced Random Player
117,99,74,48,Spaced Random Player
118,97,70,65,Spaced Random Player
119,99,49,51,Random Target Player
120,97,78,49,Spaced Random Player
121,99,57,51,Spaced Random Player
122,100,32,60,Random Target Player
123,98,86,45,Spaced Random Player
124,96,69,60,Spaced Random Player
125,96,75,52,Spaced Random Player
126,95,70,62,Spaced Random Player
127,100,83,61,Spaced Random Player
128,89,90,93,Random Player
129,99,61,67,Random Target Player
130,100,65,55,Spaced Random Player
131,92,79,57,Spaced Random Player
132,96,55,69,Random Target Player
133,97,61,87,Random Target Player
134,100,65,61,Spaced Random Player
135,85,92,54,Spaced Random Player
136,96,87,56,Spaced Random Player
137,84,47,59,Random Target Player
138,92,52,56,Random Target Player
139,100,62,71,Random Target Player
140,92,58,63,Random Target Player
141,96,40,58,Random Target Player
142,98,94,42,Spaced Random Player
143,90,55,42,Spaced Random Player
144,98,45,62,Random Target Player
145,86,52,62,Random Target Player
146,91,51,80,Random Target Player
147,97,73,61,Spaced Random Player
148,95,60,69,Random Target Player
149,100,93,58,Spaced Random Player
150,99,46,41,Spaced Random Player
151,87,70,63,Spaced Random Player
152,85,39,61,Random Target Player
153,96,93,72,Spaced Random Player
154,100,68,57,Spaced Random Player
155,96,95,48,Spaced Random Player
156,96,70,52,Spaced Random Player
157,92,77,61,Spaced Random Player
158,99,79,53,Spaced Random Player
159,97,67,52,Spaced Random Player
160,95,84,54,Spaced Random Player
161,100,68,51,Spaced Random Player
162,93,76,38,Spaced Random Player
163,100,43,58,Random Target Player
164,96,92,58,Spaced Random Player
165,94,54,34,Spaced Random Player
166,96,83,63,Spaced Random Player
167,99,53,61,Random Target Player
168,99,62,47,Spaced Random Player
169,100,59,50,Spaced Random Player
170,86,61,54,Spaced Random Player
171,98,95,50,Spaced Random Player
172,88,87,47,Spaced Random Player
173,98,54,66,Random Target Player
174,100,50,74,Random Target Player
175,93,48,62,Random Target Player
176,95,66,43,Spaced Random Player
177,99,87,42,Spaced Random Player
178,98,87,51,Spaced Random Player
179,100,92,60,Spaced Random Player
180,98,70,54,Spaced Random Player
181,100,72,67,Spaced Random Player
182,100,97,63,Spaced Random Player
183,100,53,65,Random Target Player
184,98,47,44,Spaced Random Player
185,96,91,60,Spaced Random Player
186,99,52,51,Spaced Random Player
187,95,65,65,Tie
188,99,47,50,Random Target Player
189,97,52,50,Spaced Random Player
190,96,63,59,Spaced Random Player
191,94,64,36,Spaced Random Player
192,92,72,60,Spaced Random Player
193,99,88,53,Spaced Random Player
194,97,56,54,Spaced Random Player
195,93,61,59,Spaced Random Player
196,82,61,60,Spaced Random Player
197,99,49,40,Spaced Random Player
198,92,49,49,Tie
199,99,77,47,Spaced Random Player
200,97,71,68,Spaced Random Player
201,97,97,59,Spaced Random Player
202,99,52,36,Spaced Random Player
203,100,82,55,Spaced Random Player
204,99,80,51,Spaced Random Player
205,94,66,94,Random Target Player
206,100,50,100,Random Target Player
207,100,66,52,Spaced Random Player
208,97,47,55,Random Target Player
209,93,62,59,Spaced Random Player
210,97,87,73,Spaced Random Player
211,100,77,60,Spaced Random Player
212,97,62,36,Spaced Random Player
213,100,73,63,Spaced Random Player
214,98,97,61,Spaced Random Player
215,100,48,58,Random Target Player
216,90,74,95,Random Target Player
217,96,80,60,Spaced Random Player
218,98,66,59,Spaced Random Player
219,95,81,65,Spaced Random Player
220,94,79,40,Spaced Random Player
221,96,40,61,Random Target Player
222,95,55,42,Spaced Random Player
223,97,34,62,Random Target Player
224,100,80,53,Spaced Random Player
225,100,51,56,Random Target Player
226,100,98,66,Spaced Random Player
227,100,81,55,Spaced Random Player
228,100,81,53,Spaced Random Player
229,95,99,52,Spaced Random Player
230,88,45,68,Random Target Player
231,99,60,50,Spaced Random Player
232,100,66,48,Spaced Random Player
233,93,68,63,Spaced Random Player
234,99,70,46,Spaced Random Player
235,98,70,52,Spaced Random Player
236,96,96,55,Spaced Random Player
237,97,58,60,Random Target Player
238,94,72,62,Spaced Random Player
239,95,61,45,Spaced Random Player
240,87,74,42,Spaced Random Player
241,100,82,52,Spaced Random Player
242,100,99,56,Spaced Random Player
243,98,97,99,Random Target Player
244,99,63,60,Spaced Random Player
245,98,66,55,Spaced Random Player
246,99,68,36,Spaced Random Player
247,99,46,39,Spaced Random Player
248,79,66,58,Spaced Random Player
249,100,77,61,Spaced Random Player
250,95,91,48,Spaced Random Player
251,97,61,58,Spaced Random Player
252,96,46,77,Random Target Player
253,100,89,39,Spaced Random Player
254,94,67,42,Spaced Random Player
255,96,37,50,Random Target Player
256,93,77,63,Spaced Random Player
257,99,86,59,Spaced Random Player
258,99,50,48,Spaced Random Player
259,99,62,92,Random Target Player
260,98,82,38,Spaced Random Player
261,91,66,57,Spaced Random Player
262,92,66,50,Spaced Random Player
263,95,43,51,Random Target Player
264,100,54,39,Spaced Random Player
265,96,72,61,Spaced Random Player
266,99,60,47,Spaced Random Player
267,95,80,48,Spaced Random Player
268,95,68,46,Spaced Random Player
269,96,81,66,Spaced Random Player
270,98,57,30,Spaced Random Player
271,93,99,60,Spaced Random Player
272,90,58,43,Spaced Random Player
273,69,57,46,Spaced Random Player
274,98,75,54,Spaced Random Player
275,96,76,32,Spaced Random Player
276,94,87,49,Spaced Random Player
277,97,83,41,Spaced Random Player
278,95,68,64,Spaced Random Player
279,93,57,57,Tie
280,95,52,48,Spaced Random Player
281,98,60,40,Spaced Random Player
282,99,50,64,Random Target Player
283,95,53,48,Spaced Random Player
284,96,50,53,Random Target Player
285,88,57,62,Random Target Player
286,99,82,51,Spaced Random Player
287,87,86,60,Spaced Random Player
288,85,74,51,Spaced Random Player
289,96,35,62,Random Target Player
290,98,71,64,Spaced Random Player
291,99,86,59,Spaced Random Player
292,93,85,47,Spaced Random Player
293,97,88,48,Spaced Random Player
294,99,76,64,Spaced Random Player
295,100,59,76,Random Target Player
296,96,82,52,Spaced Random Player
297,96,74,45,Spaced Random Player
298,94,68,50,Spaced Random Player
299,99,91,60,Spaced Random Player
300,99,77,50,Spaced Random Player
301,95,70,58,Spaced Random Player
302,100,55,58,Random Target Player
303,97,85,54,Spaced Random Player
304,98,43,60,Random Target Player
305,98,70,61,Spaced Random Player
306,99,86,55,Spaced Random Player
307,89,56,58,Random Target Player
308,98,74,53,Spaced Random Player
309,98,39,61,Random Target Player
310,95,52,55,Random Target Player
311,89,87,63,Spaced Random Player
312,89,65,66,Random Target Player
313,96,59,64,Random Target Player
314,99,38,57,Random Target Player
315,97,85,52,Spaced Random Player
316,100,81,49,Spaced Random Player
317,95,33,42,Random Target Player
318,100,74,91,Random Target Player
319,100,64,58,Spaced Random Player
320,85,81,39,Spaced Random Player
321,96,60,47,Spaced Random Player
322,100,79,57,Spaced Random Player
323,99,41,55,Random Target Player
324,69,72,53,Spaced Random Player
325,94,85,63,Spaced Random Player
326,99,63,44,Spaced Random Player
327,100,71,62,Spaced Random Player
328,92,84,86,Random Target Player
329,89,55,61,Random Target Player
330,93,60,44,Spaced Random Player
331,98,71,52,Spaced Random Player
332,93,69,94,Random Target Player
333,91,85,26,Spaced Random Player
334,100,69,57,Spaced Random Player
335,95,49,40,Spaced Random Player
336,96,54,52,Spaced Random Player
337,94,64,80,Random Target Player
338,99,79,43,Spaced Random Player
339,95,68,72,Random Target Player
340,98,41,64,Random Target Player
341,100,66,57,Spaced Random Player
342,93,100,45,Spaced Random Player
343,97,93,56,Spaced Random Player
344,92,64,53,Spaced Random Player
345,98,89,55,Spaced Random Player
346,97,81,89,Random Target Player
347,95,85,61,Spaced Random Player
348,94,75,45,Spaced Random Player
349,98,78,48,Spaced Random Player
350,98,48,94,Random Target Player
351,83,54,56,Random Target Player
352,92,57,63,Random Target Player
353,78,67,58,Spaced Random Player
354,97,49,45,Spaced Random Player
355,83,53,63,Random Target Player
356,92,47,58,Random Target Player
357,100,62,51,Spaced Random Player
358,99,73,42,Spaced Random Player
359,100,100,59,Spaced Random Player
360,97,58,52,Spaced Random Player
361,95,66,55,Spaced Random Player
362,100,85,53,Spaced Random Player
363,95,63,60,Spaced Random Player
364,100,81,61,Spaced Random Player
365,97,61,61,Tie
366,96,60,34,Spaced Random Player
367,100,48,40,Spaced Random Player
368,91,48,94,Random Target Player
369,95,80,45,Spaced Random Player
370,94,82,87,Random Target Player
371,96,65,55,Spaced Random Player
372,97,59,50,Spaced Random Player
373,98,59,75,Random Target Player
374,99,48,83,Random Target Player
375,88,45,38,Spaced Random Player
376,97,51,49,Spaced Random Player
377,99,87,53,Spaced Random Player
378,93,61,100,Random Target Player
379,88,61,42,Spaced Random Player
380,98,96,61,Spaced Random Player
381,98,49,43,Spaced Random Player
382,100,80,48,Spaced Random Player
383,99,56,92,Random Target Player
384,97,82,59,Spaced Random Player
385,97,68,53,Spaced Random Player
386,96,58,46,Spaced Random Player
387,98,39,50,Random Target Player
388,100,70,53,Spaced Random Player
389,95,80,58,Spaced Random Player
390,86,69,45,Spaced Random Player
391,100,58,35,Spaced Random Player
392,65,56,55,Spaced Random Player
393,100,55,59,Random Target Player
394,85,37,40,Random Target Player
395,78,71,60,Spaced Random Player
396,99,97,62,Spaced Random Player
397,99,69,82,Random Target Player
398,98,51,49,Spaced Random Player
399,86,80,44,Spaced Random Player
400,100,44,61,Random Target Player
401,93,82,63,Spaced Random Player
402,95,72,81,Random Target Player
403,71,84,60,Spaced Random Player
404,81,50,56,Random Target Player
405,93,55,60,Random Target Player
406,88,55,99,Random Target Player
407,84,75,52,Spaced Random Player
408,91,47,89,Random Target Player
409,100,66,58,Spaced Random Player
410,96,40,63,Random Target Player
411,95,63,60,Spaced Random Player
412,91,47,61,Random Target Player
413,82,99,59,Spaced Random Player
414,97,55,52,Spaced Random Player
415,87,63,63,Tie
416,97,82,60,Spaced Random Player
417,100,74,54,Spaced Random Player
418,96,93,55,Spaced Random Player
419,81,74,58,Spaced Random Player
420,100,61,51,Spaced Random Player
421,100,76,52,Spaced Random Player
422,100,55,52,Spaced Random Player
423,99,61,55,Spaced Random Player
424,95,54,56,Random Target Player
425,100,94,56,Spaced Random Player
426,90,82,44,Spaced Random Player
427,94,90,59,Spaced Random Player
428,87,40,67,Random Target Player
429,97,66,65,Spaced Random Player
430,98,80,30,Spaced Random Player
431,100,39,42,Random Target Player
432,97,55,61,Random Target Player
433,98,71,49,Spaced Random Player
434,98,57,59,Random Target Player
435,100,70,46,Spaced Random Player
436,93,63,55,Spaced Random Player
437,87,98,64,Spaced Random Player
438,90,66,66,Tie
439,98,75,64,Spaced Random Player
440,97,57,38,Spaced Random Player
441,100,75,64,Spaced Random Player
442,94,57,62,Random Target Player
443,80,63,53,Spaced Random Player
444,100,63,58,Spaced Random Player
445,95,83,56,Spaced Random Player
446,94,61,51,Spaced Random Player
447,98,67,57,Spaced Random Player
448,97,50,51,Random Target Player
449,97,44,47,Random Target Player
450,99,95,49,Spaced Random Player
451,97,82,56,Spaced Random Player
452,98,45,46,Random Target Player
453,77,51,43,Spaced Random Player
454,74,93,61,Spaced Random Player
455,97,90,59,Spaced Random Player
456,85,51,37,Spaced Random Player
457,85,84,47,Spaced Random Player
458,87,70,39,Spaced Random Player
459,95,49,58,Random Target Player
460,94,71,66,Spaced Random Player
461,100,49,69,Random Target Player
462,100,66,52,Spaced Random Player
463,99,83,49,Spaced Random Player
464,85,95,46,Spaced Random Player
465,97,76,59,Spaced Random Player
466,98,63,53,Spaced Random Player
467,94,57,51,Spaced Random Player
468,97,61,60,Spaced Random Player
469,91,69,61,Spaced Random Player
470,93,51,60,Random Target Player
471,97,54,33,Spaced Random Player
472,97,89,56,Spaced Random Player
473,90,59,53,Spaced Random Player
474,99,56,42,Spaced Random Player
475,94,91,88,Spaced Random Player
476,93,39,43,Random Target Player
477,100,70,87,Random Target Player
478,96,60,49,Spaced Random Player
479,100,80,44,Spaced Random Player
480,100,69,58,Spaced Random Player
481,83,86,57,Spaced Random Player
482,100,52,43,Spaced Random Player
483,100,83,42,Spaced Random Player
484,95,60,63,Random Target Player
485,99,55,67,Random Target Player
486,90,52,46,Spaced Random Player
487,100,69,91,Random Target Player
488,98,73,52,Spaced Random Player
489,99,76,65,Spaced Random Player
490,98,39,61,Random Target Player
491,97,71,42,Spaced Random Player
492,100,78,50,Spaced Random Player
493,94,51,55,Random Target Player
494,98,49,61,Random Target Player
495,100,49,96,Random Target Player
496,98,47,58,Random Target Player
497,99,38,49,Random Target Player
498,99,46,51,Random Target Player
499,100,69,52,Spaced Random Player
500,99,42,89,Random Target Player
501,76,50,65,Random Target Player
502,95,56,56,Tie
503,96,41,62,Random Target Player
504,99,79,66,Spaced Random Player
505,94,72,59,Spaced Random Player
506,98,62,50,Spaced Random Player
507,96,70,51,Spaced Random Player
508,93,88,54,Spaced Random Player
509,95,55,48,Spaced Random Player
510,96,45,97,Random Target Player
511,100,40,38,Spaced Random Player
512,98,75,54,Spaced Random Player
513,94,94,62,Spaced Random Player
514,100,65,56,Spaced Random Player
515,92,46,50,Random Target Player
516,98,70,47,Spaced Random Player
517,98,89,70,Spaced Random Player
518,97,71,47,Spaced Random Player
519,96,68,52,Spaced Random Player
520,91,37,95,Random Target Player
521,100,56,59,Random Target Player
522,96,92,60,Spaced Random Player
523,100,64,56,Spaced Random Player
524,88,92,54,Spaced Random Player
525,91,64,49,Spaced Random Player
526,86,65,58,Spaced Random Player
527,99,70,91,Random Target Player
528,97,71,60,Spaced Random Player
529,100,69,59,Spaced Random Player
530,99,71,58,Spaced Random Player
531,96,64,75,Random Target Player
532,99,61,74,Random Target Player
533,100,93,60,Spaced Random Player
534,94,85,45,Spaced Random Player
535,99,49,63,Random Target Player
536,100,47,65,Random Target Player
537,94,69,71,Random Target Player
538,81,78,60,Spaced Random Player
539,98,40,87,Random Target Player
540,97,91,60,Spaced Random Player
541,96,53,61,Random Target Player
542,94,42,62,Random Target Player
543,99,63,60,Spaced Random Player
544,100,42,48,Random Target Player
545,93,52,100,Random Target Player
546,85,51,46,Spaced Random Player
547,96,83,87,Random Target Player
548,98,43,54,Random Target Player
549,96,87,65,Spaced Random Player
550,97,44,53,Random Target Player
551,98,72,39,Spaced Random Player
552,98,95,60,Spaced Random Player
553,99,56,67,Random Target Player
554,93,56,58,Random Target Player
555,97,54,60,Random Target Player
556,99,52,53,Random Target Player
557,98,57,57,Tie
558,99,86,65,Spaced Random Player
559,81,69,60,Spaced Random Player
560,94,55,65,Random Target Player
561,98,51,75,Random Target Player
562,90,58,59,Random Target Player
563,99,68,40,Spaced Random Player
564,94,63,52,Spaced Random Player
565,98,59,56,Spaced Random Player
566,100,68,41,Spaced Random Player
567,93,90,55,Spaced Random Player
568,93,77,58,Spaced Random Player
569,99,67,41,Spaced Random Player
570,97,83,55,Spaced Random Player
571,95,41,66,Random Target Player
572,100,85,45,Spaced Random Player
573,100,92,45,Spaced Random Player
574,91,73,59,Spaced Random Player
575,99,75,53,Spaced Random Player
576,99,78,63,Spaced Random Player
577,100,50,51,Random Target Player
578,100,54,84,Random Target Player
579,100,80,97,Random Target Player
580,97,64,54,Spaced Random Player
581,95,49,64,Random Target Player
582,96,50,63,Random Target Player
583,95,80,41,Spaced Random Player
584,89,60,44,Spaced Random Player
585,100,97,60,Spaced Random Player
586,96,68,54,Spaced Random Player
587,100,65,46,Spaced Random Player
588,100,72,58,Spaced Random Player
589,94,45,54,Random Target Player
590,99,68,64,Spaced Random Player
591,98,61,54,Spaced Random Player
592,89,70,55,Spaced Random Player
593,98,70,36,Spaced Random Player
594,91,93,71,Spaced Random Player
595,95,69,63,Spaced Random Player
596,95,76,81,Random Target Player
597,89,94,63,Spaced Random Player
598,91,71,63,Spaced Random Player
599,91,92,55,Spaced Random Player
600,99,69,54,Spaced Random Player
601,100,63,60,Spaced Random Player
602,100,63,83,Random Target Player
603,95,53,52,Spaced Random Player
604,95,48,47,Spaced Random Player
605,100,82,46,Spaced Random Player
606,86,38,48,Random Target Player
607,98,86,50,Spaced Random Player
608,91,72,66,Spaced Random Player
609,86,87,57,Spaced Random Player
610,100,37,53,Random Target Player
611,100,74,66,Spaced Random Player
612,97,66,61,Spaced Random Player
613,90,54,66,Random Target Player
614,98,85,63,Spaced Random Player
615,88,63,49,Spaced Random Player
616,97,94,64,Spaced Random Player
617,98,78,60,Spaced Random Player
618,100,65,45,Spaced Random Player
619,97,40,39,Spaced Random Player
620,91,92,56,Spaced Random Player
621,96,59,51,Spaced Random Player
622,94,54,40,Spaced Random Player
623,99,65,30,Spaced Random Player
624,99,87,57,Spaced Random Player
625,97,78,54,Spaced Random Player
626,100,46,43,Spaced Random Player
627,92,58,45,Spaced Random Player
628,84,49,57,Random Target Player
629,76,79,56,Spaced Random Player
630,91,73,46,Spaced Random Player
631,98,75,45,Spaced Random Player
632,98,49,97,Random Target Player
633,99,50,60,Random Target Player
634,99,49,60,Random Target Player
635,95,80,63,Spaced Random Player
636,85,43,61,Random Target Player
637,97,64,60,Spaced Random Player
638,93,92,68,Spaced Random Player
639,100,81,50,Spaced Random Player
640,99,61,80,Random Target Player
641,100,62,44,Spaced Random Player
642,97,71,49,Spaced Random Player
643,99,51,76,Random Target Player
644,99,62,59,Spaced Random Player
645,89,61,60,Spaced Random Player
646,100,85,55,Spaced Random Player
647,100,74,62,Spaced Random Player
648,95,66,58,Spaced Random Player
649,96,57,60,Random Target Player
650,98,66,49,Spaced Random Player
651,88,49,58,Random Target Player
652,100,52,59,Random Target Player
653,97,48,37,Spaced Random Player
654,99,41,97,Random Target Player
655,89,79,39,Spaced Random Player
656,98,81,62,Spaced Random Player
657,90,94,49,Spaced Random Player
658,95,79,48,Spaced Random Player
659,98,72,79,Random Target Player
660,97,60,58,Spaced Random Player
661,93,60,90,Random Target Player
662,91,39,95,Random Target Player
663,93,51,62,Random Target Player
664,89,84,59,Spaced Random Player
665,97,77,60,Spaced Random Player
666,98,43,56,Random Target Player
667,97,63,61,Spaced Random Player
668,98,41,58,Random Target Player
669,95,55,92,Random Target Player
670,95,58,61,Random Target Player
671,100,73,61,Spaced Random Player
672,100,55,65,Random Target Player
673,99,75,45,Spaced Random Player
674,96,62,56,Spaced Random Player
675,92,70,52,Spaced Random Player
676,85,82,51,Spaced Random Player
677,93,86,53,Spaced Random Player
678,98,84,54,Spaced Random Player
679,98,51,61,Random Target Player
680,94,95,58,Spaced Random Player
681,99,86,56,Spaced Random Player
682,98,58,47,Spaced Random Player
683,100,89,65,Spaced Random Player
684,100,62,94,Random Target Player
685,95,70,93,Random Target Player
686,90,89,42,Spaced Random Player
687,99,92,52,Spaced Random Player
688,100,46,52,Random Target Player
689,95,57,61,Random Target Player
690,99,96,96,Tie
691,94,63,58,Spaced Random Player
692,100,54,55,Random Target Player
693,99,82,65,Spaced Random Player
694,99,44,43,Spaced Random Player
695,98,40,62,Random Target Player
696,100,86,64,Spaced Random Player
697,90,64,61,Spaced Random Player
698,96,97,58,Spaced Random Player
699,96,87,41,Spaced Random Player
700,99,44,63,Random Target Player
701,98,84,62,Spaced Random Player
702,90,83,69,Spaced Random Player
703,83,75,59,Spaced Random Player
704,95,43,48,Random Target Player
705,100,67,59,Spaced Random Player
706,99,48,57,Random Target Player
707,100,45,45,Tie
708,98,44,55,Random Target Player
709,93,52,49,Spaced Random Player
710,99,86,37,Spaced Random Player
711,97,90,48,Spaced Random Player
712,96,52,60,Random Target Player
713,97,77,45,Spaced Random Player
714,100,84,56,Spaced Random Player
715,96,49,55,Random Target Player
716,92,60,26,Spaced Random Player
717,99,54,48,Spaced Random Player
718,99,57,44,Spaced Random Player
719,94,85,58,Spaced Random Player
720,90,55,63,Random Target Player
721,88,93,69,Spaced Random Player
722,100,77,50,Spaced Random Player
723,99,75,56,Spaced Random Player
724,93,55,75,Random Target Player
725,94,64,53,Spaced Random Player
726,84,68,41,Spaced Random Player
727,100,86,52,Spaced Random Player
728,99,72,45,Spaced Random Player
729,94,75,97,Random Target Player
730,94,48,44,Spaced Random Player
731,99,68,58,Spaced Random Player
732,100,59,57,Spaced Random Player
733,99,59,56,Spaced Random Player
734,90,59,56,Spaced Random Player
735,95,73,90,Random Target Player
736,97,68,58,Spaced Random Player
737,97,80,53,Spaced Random Player
738,99,83,67,Spaced Random Player
739,95,89,62,Spaced Random Player
740,100,36,47,Random Target Player
741,100,40,61,Random Target Player
742,97,37,64,Random Target Player
743,79,66,70,Random Target Player
744,97,88,56,Spaced Random Player
745,97,84,50,Spaced Random Player
746,87,57,47,Spaced Random Player
747,93,53,63,Random Target Player
748,99,48,68,Random Target Player
749,100,58,48,Spaced Random Player
750,81,99,61,Spaced Random Player
751,98,52,62,Random Target Player
752,94,62,60,Spaced Random Player
753,100,83,44,Spaced Random Player
754,98,94,53,Spaced Random Player
755,96,98,56,Spaced Random Player
756,95,80,90,Random Target Player
757,99,99,59,Spaced Random Player
758,91,93,65,Spaced Random Player
759,97,93,60,Spaced Random Player
760,93,29,61,Random Target Player
761,93,60,40,Spaced Random Player
762,100,48,89,Random Target Player
763,99,98,63,Spaced Random Player
764,100,47,91,Random Target Player
765,97,55,42,Spaced Random Player
766,100,73,49,Spaced Random Player
767,87,100,56,Spaced Random Player
768,87,53,99,Random Target Player
769,92,82,47,Spaced Random Player
770,98,54,63,Random Target Player
771,100,69,50,Spaced Random Player
772,89,95,53,Spaced Random Player
773,90,80,54,Spaced Random Player
774,82,82,62,Spaced Random Player
775,99,64,62,Spaced Random Player
776,100,39,59,Random Target Player
777,100,40,48,Random Target Player
778,99,82,65,Spaced Random Player
779,88,64,56,Spaced Random Player
780,92,92,63,Spaced Random Player
781,85,84,64,Spaced Random Player
782,97,75,55,Spaced Random Player
783,83,52,48,Spaced Random Player
784,85,69,89,Random Target Player
785,96,56,60,Random Target Player
786,98,78,66,Spaced Random Player
787,91,62,60,Spaced Random Player
788,87,77,52,Spaced Random Player
789,99,51,49,Spaced Random Player
790,99,71,54,Spaced Random Player
791,81,46,56,Random Target Player
792,93,100,34,Spaced Random Player
793,100,44,59,Random Target Player
794,99,45,59,Random Target Player
795,100,87,54,Spaced Random Player
796,99,82,82,Tie
797,98,50,42,Spaced Random Player
798,95,58,54,Spaced Random Player
799,95,71,56,Spaced Random Player
800,97,80,51,Spaced Random Player
801,98,88,61,Spaced Random Player
802,100,42,82,Random Target Player
803,90,49,57,Random Target Player
804,100,54,58,Random Target Player
805,92,49,63,Random Target Player
806,95,55,42,Spaced Random Player
807,98,45,58,Random Target Player
808,91,71,77,Random Target Player
809,99,69,52,Spaced Random Player
810,97,71,53,Spaced Random Player
811,98,80,45,Spaced Random Player
812,98,91,53,Spaced Random Player
813,98,75,67,Spaced Random Player
814,98,32,65,Random Target Player
815,99,90,51,Spaced Random Player
816,100,81,56,Spaced Random Player
817,93,65,57,Spaced Random Player
818,99,45,56,Random Target Player
819,89,62,60,Spaced Random Player
820,91,74,79,Random Target Player
821,100,71,53,Spaced Random Player
822,100,75,52,Spaced Random Player
823,100,65,61,Spaced Random Player
824,100,51,56,Random Target Player
825,91,48,47,Spaced Random Player
826,98,57,47,Spaced Random Player
827,94,89,98,Random Target Player
828,99,52,57,Random Target Player
829,100,46,61,Random Target Player
830,100,44,55,Random Target Player
831,95,36,53,Random Target Player
832,95,64,59,Spaced Random Player
