# Battleship Game Analysis Results
# Generated: 2025-10-23 13:30:40
# Comparison Type: three-bot-comparison

# THREE-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Winner
Average Moves,95.39,66.14,58.25,Spaced Random Player
Median Moves,97.00,65.00,57.00,Spaced Random Player
Best Game,58,21,22,Random Target Player
Worst Game,100,100,100,Random Player
Consistency (Std Dev),4.81,16.23,13.69,Random Player
Avg Time per Game,0.00,0.00,0.00,Random Player
Overall Metric Wins,3,1,2,

# HEAD-TO-HEAD GAME RESULTS
Game Number,Random Player,Random Target Player,Spaced Random Player,Winner
1,99,82,45,Spaced Random Player
2,90,54,62,Random Target Player
3,96,97,60,Spaced Random Player
4,84,66,53,Spaced Random Player
5,95,94,89,Spaced Random Player
6,94,51,53,Random Target Player
7,95,61,57,Spaced Random Player
8,84,54,41,Spaced Random Player
9,99,80,54,Spaced Random Player
10,74,73,42,Spaced Random Player
11,98,72,51,Spaced Random Player
12,93,95,59,Spaced Random Player
13,93,92,54,Spaced Random Player
14,100,100,78,Spaced Random Player
15,92,64,62,Spaced Random Player
16,98,62,54,Spaced Random Player
17,98,90,57,Spaced Random Player
18,94,85,60,Spaced Random Player
19,98,46,45,Spaced Random Player
20,95,65,44,Spaced Random Player
21,100,46,49,Random Target Player
22,99,58,44,Spaced Random Player
23,95,87,54,Spaced Random Player
24,94,81,50,Spaced Random Player
25,97,42,62,Random Target Player
26,99,60,64,Random Target Player
27,98,80,57,Spaced Random Player
28,99,75,63,Spaced Random Player
29,98,41,63,Random Target Player
30,84,56,45,Spaced Random Player
31,85,85,58,Spaced Random Player
32,95,55,51,Spaced Random Player
33,91,69,50,Spaced Random Player
34,92,51,64,Random Target Player
35,89,71,47,Spaced Random Player
36,95,55,44,Spaced Random Player
37,97,61,54,Spaced Random Player
38,100,80,50,Spaced Random Player
39,96,59,51,Spaced Random Player
40,87,67,52,Spaced Random Player
41,95,47,55,Random Target Player
42,93,70,55,Spaced Random Player
43,93,99,55,Spaced Random Player
44,98,93,54,Spaced Random Player
45,99,65,80,Random Target Player
46,99,53,33,Spaced Random Player
47,96,39,59,Random Target Player
48,99,69,73,Random Target Player
49,99,51,41,Spaced Random Player
50,92,72,60,Spaced Random Player
51,100,66,45,Spaced Random Player
52,97,56,55,Spaced Random Player
53,96,87,41,Spaced Random Player
54,92,99,81,Spaced Random Player
55,97,91,57,Spaced Random Player
56,99,70,56,Spaced Random Player
57,95,55,54,Spaced Random Player
58,98,83,48,Spaced Random Player
59,98,79,53,Spaced Random Player
60,93,59,56,Spaced Random Player
61,86,52,56,Random Target Player
62,99,67,52,Spaced Random Player
63,99,84,56,Spaced Random Player
64,99,54,47,Spaced Random Player
65,96,59,48,Spaced Random Player
66,83,53,48,Spaced Random Player
67,95,29,43,Random Target Player
68,96,42,49,Random Target Player
69,96,49,62,Random Target Player
70,91,60,43,Spaced Random Player
71,98,48,59,Random Target Player
72,97,79,63,Spaced Random Player
73,100,64,88,Random Target Player
74,99,56,55,Spaced Random Player
75,97,57,52,Spaced Random Player
76,96,71,97,Random Target Player
77,96,59,51,Spaced Random Player
78,100,82,60,Spaced Random Player
79,100,58,61,Random Target Player
80,98,87,45,Spaced Random Player
81,97,83,59,Spaced Random Player
82,100,60,61,Random Target Player
83,88,68,52,Spaced Random Player
84,92,53,64,Random Target Player
85,99,72,69,Spaced Random Player
86,100,72,52,Spaced Random Player
87,98,49,56,Random Target Player
88,85,72,59,Spaced Random Player
89,91,53,54,Random Target Player
90,86,54,64,Random Target Player
