# Battleship Game Analysis Results
# Generated: 2025-10-23 13:34:32
# Comparison Type: three-bot-comparison

# THREE-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Winner
Average Moves,95.37,66.08,58.21,Spaced Random Player
Median Moves,97.00,65.00,57.00,Spaced Random Player
Best Game,56,22,20,Spaced Random Player
Worst Game,100,100,100,Random Player
Consistency (Std Dev),4.83,16.20,13.67,Random Player
Avg Time per Game,0.00,0.00,0.00,Random Player
Overall Metric Wins,3,0,3,

# HEAD-TO-HEAD GAME RESULTS
Game Number,Random Player,Random Target Player,Spaced Random Player,Winner
1,90,39,56,Random Target Player
2,98,45,58,Random Target Player
3,95,40,50,Random Target Player
4,95,50,52,Random Target Player
5,94,86,59,Spaced Random Player
6,91,64,58,Spaced Random Player
7,86,69,47,Spaced Random Player
8,100,81,43,Spaced Random Player
9,100,86,54,Spaced Random Player
10,96,66,64,Spaced Random Player
11,100,63,58,Spaced Random Player
12,65,46,63,Random Target Player
13,98,95,54,Spaced Random Player
14,99,78,55,Spaced Random Player
15,100,81,84,Random Target Player
16,99,82,58,Spaced Random Player
17,98,39,66,Random Target Player
18,98,89,66,Spaced Random Player
19,97,61,51,Spaced Random Player
20,95,63,56,Spaced Random Player
21,92,52,44,Spaced Random Player
22,84,47,84,Random Target Player
23,99,57,57,Tie
24,99,39,73,Random Target Player
25,99,68,65,Spaced Random Player
26,94,59,47,Spaced Random Player
27,96,88,83,Spaced Random Player
28,97,68,49,Spaced Random Player
29,94,54,61,Random Target Player
30,88,55,56,Random Target Player
31,83,63,69,Random Target Player
32,95,63,58,Spaced Random Player
33,97,66,43,Spaced Random Player
34,98,47,40,Spaced Random Player
35,98,47,62,Random Target Player
36,99,66,56,Spaced Random Player
37,98,77,62,Spaced Random Player
38,96,94,54,Spaced Random Player
39,92,54,58,Random Target Player
40,95,42,46,Random Target Player
41,98,60,39,Spaced Random Player
42,97,50,66,Random Target Player
43,94,81,44,Spaced Random Player
44,95,66,62,Spaced Random Player
45,95,94,53,Spaced Random Player
46,93,42,61,Random Target Player
47,99,96,40,Spaced Random Player
48,98,70,43,Spaced Random Player
49,94,58,85,Random Target Player
50,94,72,37,Spaced Random Player
51,97,85,54,Spaced Random Player
52,99,61,60,Spaced Random Player
53,97,56,54,Spaced Random Player
54,99,42,56,Random Target Player
55,97,51,51,Tie
56,100,88,55,Spaced Random Player
57,93,96,45,Spaced Random Player
58,100,64,64,Tie
59,93,68,61,Spaced Random Player
60,97,67,62,Spaced Random Player
61,100,44,50,Random Target Player
62,99,75,52,Spaced Random Player
63,98,76,56,Spaced Random Player
64,99,69,64,Spaced Random Player
65,100,38,81,Random Target Player
66,94,82,68,Spaced Random Player
67,99,70,62,Spaced Random Player
68,89,39,52,Random Target Player
69,93,36,43,Random Target Player
70,97,78,46,Spaced Random Player
71,100,49,60,Random Target Player
72,99,49,37,Spaced Random Player
73,100,81,67,Spaced Random Player
74,88,54,90,Random Target Player
75,95,62,27,Spaced Random Player
