# Battleship Game Analysis Results
# Generated: 2025-10-24 14:23:40
# Comparison Type: single-bot

# SUMMARY STATISTICS
Player Name,Optimized Monte Carlo Player
Total Games,100
Average Moves,49.69
Median Moves,49.00
Best Game,26
Worst Game,72
Standard Deviation,10.56
Total Time (s),41.74
Avg Time per Game (s),0.417

# GAME-BY-GAME RESULTS
Note: Individual game results not saved (large dataset - memory optimization)

# MOVE COUNT DISTRIBUTION
Move Range,Game Count,Percentage
≤30 moves,2,2.0%
31-40 moves,19,19.0%
41-50 moves,35,35.0%
51-60 moves,25,25.0%
61-70 moves,17,17.0%
71-80 moves,2,2.0%
81-90 moves,0,0.0%
91+ moves,0,0.0%
