# Battleship Game Analysis Results
# Generated: 2025-10-23 13:10:07
# Comparison Type: three-bot-comparison

# THREE-WAY COMPARISON SUMMARY
Metric,Random Player,Random Target Player,Spaced Random Player,Winner
Average Moves,95.38,66.14,66.11,Spaced Random Player
Median Moves,97.00,65.00,65.00,Random Target Player
Best Game,56,20,20,Random Target Player
Worst Game,100,100,100,Random Player
Consistency (Std Dev),4.81,16.19,16.20,Random Player
Avg Time per Game,0.00,0.00,0.00,Random Player
Overall Metric Wins,3,2,1,

# HEAD-TO-HEAD GAME RESULTS
Game Number,Random Player,Random Target Player,Spaced Random Player,Winner
1,96,84,55,Spaced Random Player
2,100,42,77,Random Target Player
3,100,97,80,Spaced Random Player
4,96,72,67,Spaced Random Player
5,92,65,77,Random Target Player
6,93,89,70,Spaced Random Player
7,89,61,91,Random Target Player
8,90,57,79,Random Target Player
9,97,76,35,Spaced Random Player
10,99,75,98,Random Target Player
11,97,98,81,Spaced Random Player
12,90,70,75,Random Target Player
13,98,84,86,Random Target Player
14,96,44,39,Spaced Random Player
15,99,47,54,Random Target Player
16,91,30,57,Random Target Player
17,99,67,59,Spaced Random Player
18,94,45,54,Random Target Player
19,88,44,65,Random Target Player
20,100,94,66,Spaced Random Player
21,93,60,37,Spaced Random Player
22,98,43,53,Random Target Player
23,88,61,77,Random Target Player
24,100,71,40,Spaced Random Player
25,100,73,73,Tie
26,92,61,81,Random Target Player
27,97,69,57,Spaced Random Player
28,99,63,87,Random Target Player
29,100,77,83,Random Target Player
30,91,82,95,Random Target Player
31,87,73,38,Spaced Random Player
32,99,94,81,Spaced Random Player
33,85,48,78,Random Target Player
34,98,54,95,Random Target Player
35,95,54,100,Random Target Player
36,98,99,55,Spaced Random Player
37,97,76,71,Spaced Random Player
38,95,64,92,Random Target Player
39,93,52,54,Random Target Player
40,97,62,85,Random Target Player
41,94,51,97,Random Target Player
42,100,74,59,Spaced Random Player
43,98,93,38,Spaced Random Player
44,92,81,76,Spaced Random Player
45,100,72,54,Spaced Random Player
46,87,73,50,Spaced Random Player
47,95,58,53,Spaced Random Player
48,95,75,95,Random Target Player
49,98,43,91,Random Target Player
50,99,75,80,Random Target Player
51,99,76,55,Spaced Random Player
52,100,43,58,Random Target Player
53,95,71,52,Spaced Random Player
54,94,90,100,Random Target Player
55,98,70,48,Spaced Random Player
56,100,54,75,Random Target Player
57,96,76,62,Spaced Random Player
58,99,81,46,Spaced Random Player
59,100,47,47,Tie
60,98,45,38,Spaced Random Player
61,100,55,71,Random Target Player
62,96,50,44,Spaced Random Player
63,100,46,86,Random Target Player
64,99,46,92,Random Target Player
65,95,65,92,Random Target Player
66,100,47,56,Random Target Player
67,96,56,52,Spaced Random Player
68,96,62,92,Random Target Player
69,100,58,79,Random Target Player
70,98,71,68,Spaced Random Player
71,88,64,79,Random Target Player
72,96,49,51,Random Target Player
73,100,51,75,Random Target Player
74,96,36,56,Random Target Player
75,88,77,60,Spaced Random Player
76,91,86,66,Spaced Random Player
77,99,63,74,Random Target Player
78,99,67,63,Spaced Random Player
79,96,57,91,Random Target Player
80,87,79,73,Spaced Random Player
81,100,68,83,Random Target Player
82,96,56,45,Spaced Random Player
83,98,46,63,Random Target Player
84,96,92,64,Spaced Random Player
85,99,83,90,Random Target Player
86,98,55,79,Random Target Player
87,98,34,77,Random Target Player
88,94,92,72,Spaced Random Player
89,94,77,46,Spaced Random Player
90,96,95,59,Spaced Random Player
91,83,78,68,Spaced Random Player
92,98,63,50,Spaced Random Player
93,100,54,33,Spaced Random Player
94,97,97,82,Spaced Random Player
95,93,73,75,Random Target Player
96,100,47,76,Random Target Player
97,98,48,88,Random Target Player
98,85,75,73,Spaced Random Player
99,100,60,63,Random Target Player
100,99,55,85,Random Target Player
101,77,78,59,Spaced Random Player
102,98,65,75,Random Target Player
103,94,63,74,Random Target Player
104,97,95,64,Spaced Random Player
105,89,47,70,Random Target Player
106,88,65,46,Spaced Random Player
107,98,58,80,Random Target Player
108,91,90,72,Spaced Random Player
109,100,69,94,Random Target Player
110,99,68,75,Random Target Player
111,89,67,96,Random Target Player
