DATE,TIME,TOTAL MOVES,GAME TIME
2025-09-21,19:15:30,45,03:22
2025-09-21,19:22:30,48,06:23
2025-09-21,19:27:54,49,04:40
2025-09-21,19:46:05,55,05:00
2025-09-21,19:50:25,36,03:30
2025-09-21,19:54:52,50,03:54
2025-09-21,19:59:56,48,04:28
2025-09-21,20:05:05,43,04:35
