moves
99
99
100
99
96
99
94
96
99
99
90
98
97
100
80
95
83
100
96
100
96
99
96
92
93
100
94
99
97
85
98
100
94
93
99
97
98
94
93
96
90
95
92
99
99
88
97
91
100
96
98
99
95
95
95
99
100
99
95
87
95
98
98
97
97
98
96
98
100
98
98
92
100
97
98
90
94
90
100
93
92
95
94
100
99
94
97
97
100
99
98
100
96
90
100
94
99
97
98
84
95
96
98
98
98
91
94
95
95
99
100
100
88
94
99
99
99
98
96
83
97
91
98
97
100
76
92
100
92
94
98
96
95
94
90
95
100
97
97
100
98
91
98
91
100
95
96
83
90
79
92
84
97
98
99
97
99
94
100
95
97
96
93
100
99
89
91
94
98
95
97
97
96
98
99
94
99
87
95
94
93
95
99
94
100
96
96
92
83
94
94
95
98
92
96
96
94
96
98
99
97
97
94
94
91
96
94
95
91
98
99
100
97
98
97
98
96
96
100
88
88
98
94
100
92
100
100
99
90
100
93
100
95
97
99
97
100
96
96
83
99
98
94
96
99
100
94
97
97
97
99
96
93
95
97
94
95
98
100
82
93
100
99
96
99
98
97
98
97
94
100
100
96
65
77
98
89
100
91
89
97
94
97
96
99
100
99
100
99
88
94
100
97
89
100
84
99
96
97
99
95
100
91
98
92
100
95
94
99
100
95
98
100
96
99
97
99
96
96
87
98
98
92
99
96
93
99
100
100
92
100
97
99
90
90
99
96
98
97
96
81
97
88
95
96
100
98
89
100
93
98
100
90
97
96
94
79
100
96
95
98
95
96
89
97
89
91
100
98
91
86
95
76
99
97
96
99
99
98
97
98
95
97
96
94
89
99
97
82
95
94
99
97
87
94
97
91
96
87
97
97
96
89
91
97
100
99
99
99
87
99
92
99
94
98
97
87
93
99
91
97
97
99
93
94
97
98
98
100
97
87
96
96
89
95
100
98
98
97
96
90
100
98
97
96
98
99
100
95
94
99
92
100
93
93
98
97
100
96
97
93
100
90
97
100
96
93
90
95
97
98
98
90
99
91
86
94
91
100
92
97
93
92
98
93
98
99
99
93
98
94
100
84
97
97
93
97
97
100
93
97
98
89
100
99
99
98
96
89
98
99
93
93
97
86
95
97
100
99
100
97
96
99
98
99
98
99
96
97
97
100
94
98
79
100
100
95
100
75
100
100
91
100
100
88
87
100
90
98
96
93
99
99
99
100
100
100
100
100
92
94
95
95
99
95
86
96
87
100
99
94
99
95
85
89
99
